Volatge (V),Frequency,Current
2.640526882,8106452,1706
2.636616813,8106692,1706
2.636616813,8106644,1705
2.633928642,8106452,1703
2.63466178,8106812,1702
2.632706745,8106932,1702
2.632462366,8107148,1700
2.631240469,8107244,1699
2.629774194,8107316,1698
2.625864125,8107604,1697
2.626597263,8107292,1696
2.623909091,8107700,1695
2.623175953,8107940,1694
2.621954057,8108396,1693
2.621954057,8108444,1692
2.618777126,8108780,1691
2.619999023,8108972,1690
2.619265885,8109308,1690
2.618532747,8109716,1688
2.617066471,8109716,1688
2.615844575,8109812,1687
2.615844575,8109620,1686
2.615111437,8111588,1686
2.613400782,8112068,1686
2.612667644,8112188,1686
2.612667644,8112620,1685
2.611934507,8111492,1685
2.611201369,8110700,1683
2.609246335,8110772,1683
2.609246335,8110652,1681
2.605825024,8111372,1680
2.605825024,8111780,1680
2.604603128,8111828,1678
2.603381232,8111804,1677
2.601914956,8112212,1676
2.599959922,8112188,1676
2.598004888,8112044,1674
2.596538612,8112740,1673
2.596538612,8112524,1672
2.594094819,8113004,1671
2.592628544,8113508,1670
2.592628544,8113388,1668
2.58417351,8113748,1667
2.577184751,8113700,1665
2.577184751,8114612,1664
2.574252199,8114852,1663
2.572785924,8115212,1662
2.571319648,8115284,1661
2.568387097,8115548,1659
2.568387097,8116004,1657
2.565454545,8116076,1657
2.56398827,8116220,1655
2.562521994,8116172,1653
2.559589443,8116292,1652
2.561055719,8116892,1651
2.556656892,8117372,1650
2.555190616,8117228,1650
2.555190616,8118284,1648
2.552258065,8118236,1646
2.550791789,8118188,1646
2.549325514,8118308,1644
2.547859238,8118356,1643
2.544926686,8118548,1642
2.544926686,8119004,1641
2.543460411,8119196,1639
2.541994135,8119796,1638
2.54052786,8120540,1637
2.537595308,8120228,1635
2.537595308,8120732,1634
2.534662757,8121092,1633
2.533196481,8120468,1631
2.53026393,8120540,1630
2.531730206,8121020,1629
2.528797654,8121116,1627
2.527331378,8121668,1626
2.525865103,8122340,1625
2.524398827,8122484,1625
2.524398827,8122340,1623
2.521466276,8122124,1623
2.521466276,8122868,1622
2.521466276,8122724,1621
2.52,8123252,1620
2.517067449,8123444,1619
2.515601173,8122652,1619
2.515601173,8122196,1618
2.514134898,8122244,1617
2.512668622,8122796,1616
2.512668622,8123204,1615
2.511202346,8123180,1614
2.50973607,8123684,1612
2.508269795,8123036,1612
2.506803519,8123276,1611
2.508269795,8123396,1610
2.506803519,8124260,1610
2.506803519,8123828,1609
2.506803519,8124188,1608
2.506803519,8123924,1608
2.503870968,8123732,1608
2.506803519,8123972,1608
2.505337244,8124332,1608
2.503870968,8123948,1608
2.503870968,8124284,1607
2.503870968,8124356,1607
2.502404692,8124212,1606
2.502404692,8124332,1606
2.502404692,8124404,1606
2.500938416,8124356,1605
2.500938416,8124428,1605
2.499472141,8124308,1604
2.500938416,8124332,1604
2.498005865,8124116,1604
2.498005865,8124500,1604
2.499472141,8124524,1603
2.498005865,8124644,1603
2.498005865,8124428,1602
2.49653959,8124692,1601
2.495073314,8125076,1601
2.495073314,8125172,1601
2.495073314,8125340,1601
2.495073314,8125940,1600
2.495073314,8125508,1600
2.492140762,8126036,1598
